"Year","pheno","Predicted"
1962,129,126.958333333333
1963,125,127.166666666667
1964,120,126.25
1965,125,126.125
1966,110,115.958333333333
1968,112,116.291666666667
1970,130,131.625
1971,120,126.583333333333
1973,126,133.25
1974,101,101.875
1977,115,115.916666666667
1978,119,124.166666666667
1979,132,135.583333333333
1981,103,101.833333333333
1983,118,121.083333333333
1984,130,129.333333333333
1985,132,127.208333333333
1986,129,130.083333333333
1987,119,119.208333333333
1988,115,122
1990,90,92.25
1991,105,105.458333333333
1993,112,111.125
1994,113,116.166666666667
1998,104,103.083333333333
2000,111,112.958333333333
2003,108,104.333333333333
2004,109,105.333333333333
2007,105,107.375
2008,114,118.208333333333
2009,105,107.291666666667
2010,114,116.333333333333
2013,121,119.083333333333
2016,111,113.208333333333
2017,95,99.3333333333333
2018,109,108.041666666667
2023,106,92.0416666666667
2024,85,74.6666666666667
2026,57,57.4583333333333
2027,43,48
2028,57,59.875
2033,43,44
2038,43,43.2916666666667
2039,98,99.4583333333333
2040,80,80
2042,98,90
2044,87,84.9583333333333
2046,60,56.8333333333333
2052,87,85.9583333333333
2053,77,75.9166666666667
